"Operator","Schlagwort","Kompetenz","Ähnliche Kompetenz","Unterkompetenz","Referenzrahmen","Evidenzen","Kompetenzbereiche (KMK)","Metaoperator","Unterkompetenz"
"strukturieren","Dokumentation","<p>Die Lehramtsanwärter strukturieren ihren Unterricht, indem sie eine Verlaufstabelle anlegen.</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren",,"<p><span style=""line-height:1.231;"">Die Verlaufstabelle</span></p> <ul><li><span style=""line-height:1.231;"">zeigt didaktische Reduktion</span></li> <li>enthält logische Planungsabsichten</li> </ul>",,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"vorbereiten, planen, strukturieren","Planung, Organisation, Management","<p>Die Lehramtsanwärter planen ihren Unterricht</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren",,"<p>Sie hängen Unterrichtsmaterialien an ihr Portfolio an.</p>",,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"planen","Unterrichten","<p>Lehrerinnen und Lehrer planen Unterricht fach- und sachgerecht</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"durchführen",,"<p>Lehrerinnen und Lehrer führen Unterricht sachlich und<br />fachlich korrekt durch.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"verknüpfen",,"<p>Lehramtsanwärter verknüpfen fachwissenschaftliche und<br />fachdidaktische Argumente.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"auswählen",,"<p>Die Lehramtsanwärter wählen Inhalte und Methoden, Arbeits- und Kommunikationsformen aus.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren",,,"Didaktik und Methodik",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"integrieren","Technologie, Medien","<p>Die Lehramtsanwärter integrieren moderne Informations- und<br />Kommunikationstechnologien didaktisch<br />sinnvoll.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik##Medienbildung",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"reflektieren","Technologie, Medien","<p>Die Lehramtsanwärter reflektieren den eigenen Medieneinsatz.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren",,,"Didaktik und Methodik##Medienbildung",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"überprüfen","Qualität","<p>Die Lehramtsanwärter überprüfen die Qualität des eigenen Lehrens</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren",,,"Beruf und Rolle des Lehrers",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen","Bildungstheorien","<p>Die Lehramtsanwärter kennen die einschlägigen Bildungstheorien.</p>","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren",,,"Didaktik und Methodik",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"verstehen",,"<p>Die Lehramtsanwärter verstehen bildungs- und erziehungstheoretische Ziele sowie die daraus abzuleitenden Standards</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"reflektieren",,"<p>Die Lehramtsanwärter reflektieren bildungs- und erziehungstheoretische Ziele sowie die daraus abzuleitenden Standards kritisch.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen",,"<p>Die Lehramtsanwärter kennen unterschiedliche Unterrichtsmethoden und Aufgabenformen.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"einsetzen",,"<p>Die Lehramtsanwärter setzen<span style=""line-height:1.231;""> unterschiedliche Unterrichtsmethoden und Aufgabenformen </span><span style=""line-height:1.231;"">anforderungs- und situationsgerecht ein</span></p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">kennen Konzepte der Medienpädagogik </span><span style=""line-height:1.231;"">und -psychologie und Möglichkeiten und </span><span style=""line-height:1.231;"">Grenzen eines anforderungs- und situationsgerechten Einsatzes von Medien im </span><span style=""line-height:1.231;"">Unterricht</span></p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen","Qualität","<p>Die Lehramtsanwärter kennen Verfahren für die Beurteilung von<br />Lehrleistung und Unterrichtsqualität</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"unterstützen","Lernsituation","<p>Die Lehramtsanwärter  unterstützen durch die Gestaltung von Lernsituationen das Lernen von Schülerinnen und Schülern.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"motivieren",,"<p>Die Lehramtsanwärter motivieren Schülerinnen und Schüler Zusammenhänge herzustellen und Gelerntes zu nutzen.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"befähigen",,"<p>Die Lehramtsanwärter befähigen Schülerinnen und Schüler Zusammenhänge herzustellen und Gelerntes zu nutzen.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen",,"<p>Die Lehramtsanwärter kennen Lerntheorien und Formen des Lernens.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"einbeziehen",,"<p>Die Lehramtsanwärter beziehen Lernende aktiv in den Unterricht ein.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik##Leistungs- und Lernmotivation",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"unterstützen",,"<p>Die Lehramtsanwärter unterstützen <span style=""line-height:1.231;"">Verstehen und </span><span style=""line-height:1.231;"">Transfer .</span></p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik##Leistungs- und Lernmotivation",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"fördern",,"<p>Die Lehramtsanwärter fördern die Fähigkeiten von Schülerinnen und Schülern zum selbstbestimmten Lernen und Arbeiten</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik##Lernen, Entwicklung und Sozialisation##Leistungs- und Lernmotivation",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"vermitteln",,"<p>Die Lehramtsanwärter vermitteln  Lern- und Arbeitsstrategien</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik##Lernen, Entwicklung und Sozialisation",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"vermitteln",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">vermitteln den Schülerinnen und Schülern </span><span style=""line-height:1.231;"">Methoden des selbstbestimmten, eigenverantwortlichen und kooperativen Lernens </span><span style=""line-height:1.231;"">und Arbeitens.</span></p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik##Lernen, Entwicklung und Sozialisation",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen",,"<p>Die Lehramtsanwärter  kennen die sozialen und kulturellen Lebensbedingungen von Schülerinnen und Schülern</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Lernen, Entwicklung und Sozialisation##Differenzierung, Integration und Förderung##Bildungsforschung",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen","Präventivmaßnahmen, Benachteiligungen","<p>Die Lehramtsanwärter kennen etwaige Benachteiligungen von<br />Schülerinnen und Schülern beim Lernprozess und Möglichkeiten der pädagogischen Hilfen und Präventivmaßnahmen</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Lernen, Entwicklung und Sozialisation##Differenzierung, Integration und Förderung##Diagnostik, Beurteilung und Beratung##Bildungsforschung",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen","Erziehungsprozesse, Interkulturalität","<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">kennen interkulturelle Dimensionen bei </span><span style=""line-height:1.231;"">der Gestaltung von Bildungs- und Erziehungsprozessen</span></p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Differenzierung, Integration und Förderung##Diagnostik, Beurteilung und Beratung##Bildungsforschung",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen","Gender, Erziehungsprozesse","<p>Die Lehramtsanwärter kennen die Bedeutung geschlechtsspezifischer Einflüsse auf Bildungs- und Erziehungsprozesse</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Lernen, Entwicklung und Sozialisation##Differenzierung, Integration und Förderung##Diagnostik, Beurteilung und Beratung##Bildungsforschung",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"beachten",,"<p>Die Lehramtsanwärter beachten die kulturelle und soziale Vielfalt in der jeweiligen Lerngruppe.</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Lernen, Entwicklung und Sozialisation##Differenzierung, Integration und Förderung##Diagnostik, Beurteilung und Beratung##Bildungsforschung",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"unterstützen","Differenzierung, Individuelle Betreuung","<p>Die Lehramtsanwärter unterstützen individuell.</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik##Differenzierung, Integration und Förderung##Diagnostik, Beurteilung und Beratung",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"vermitteln",,"<p>Die Lehramtsanwärter  vermitteln Werte und Normen.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Bildung und Erziehung##Beruf und Rolle des Lehrers",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"unterstützen",,"<p>Die Lehramtsanwärter unterstützen selbstbestimmtes Urteilen und Handeln von Schülerinnen und Schülern</p>","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Didaktik und Methodik##Lernen, Entwicklung und Sozialisation",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"reflektieren",,"<p>Die Lehramtsanwärter reflektieren demokratische Werte und Normen sowie ihre Vermittlung</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Bildung und Erziehung##Beruf und Rolle des Lehrers",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"unterstützen",,"<p>unterstützen Schülerinnen und Schüler im Umgang mit persönlichen Krisen- und Entscheidungssituationen.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Bildung und Erziehung##Beruf und Rolle des Lehrers##Lernen, Entwicklung und Sozialisation##Differenzierung, Integration und Förderung##Bildungsforschung",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"einüben",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">üben mit den Schülerinnen und Schülern </span><span style=""line-height:1.231;"">eigenverantwortliches Urteilen und Handeln schrittweise ein</span></p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Bildung und Erziehung##Beruf und Rolle des Lehrers##Lernen, Entwicklung und Sozialisation",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"finden",,"<p>Die Lehramtsanwärter finden Lösungsansätze für Schwierigkeiten und Konflikte in Schule und Unterricht</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Didaktik und Methodik##Kommunikation##Schulentwicklung",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"gestalten",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">gestalten soziale Beziehungen und soziale </span><span style=""line-height:1.231;"">Lernprozesse in Unterricht und Schule.</span></p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Lernen, Entwicklung und Sozialisation##Schulentwicklung",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"erarbeiten","Umgangsregeln","<p>Die Lehramtsanwärter erarbeiten mit den Schülerinnen und Schülern Regeln des Umgangs miteinander</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Bildung und Erziehung##Lernen, Entwicklung und Sozialisation##Schulentwicklung",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"anwenden",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">wenden im konkreten Fall Strategien und </span><span style=""line-height:1.231;"">Handlungsformen der Konfliktprävention </span><span style=""line-height:1.231;"">und -lösung an.</span></p>","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Bildung und Erziehung##Beruf und Rolle des Lehrers",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">kennen Regeln der Gesprächsführung sowie Grundsätze des Umgangs miteinander, </span><span style=""line-height:1.231;"">die in Unterricht, Schule und Elternarbeit </span><span style=""line-height:1.231;"">bedeutsam sind.</span></p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Kommunikation",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">kennen Risiken und Gefährdungen des </span><span style=""line-height:1.231;"">Kindes- und Jugendalters sowie Präventions- und Interventionsmöglichkeiten.</span></p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Bildung und Erziehung##Diagnostik, Beurteilung und Beratung##Bildungsforschung",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">kennen Methoden der konstruktiven Konfliktbearbeitung </span><span style=""line-height:1.231;"">und des Umgangs mit Gewalt</span></p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften","<p>Beleg über Kurs zur Konfliktlösung bzw. Mediation.</p>","Diagnostik, Beurteilung und Beratung##Kommunikation##Bildungsforschung",,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"diagnostizieren",,"<p>Die Lehramtsanwärter  diagnostizieren Lernvoraussetzungen und Lernprozesse von Schülerinnen und Schülern</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Diagnostik, Beurteilung und Beratung","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"fördern",,"<p>Die Lehramtsanwärter fördern Schülerinnen und Schüler gezielt</p>","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Differenzierung, Integration und Förderung##Diagnostik, Beurteilung und Beratung##Bildungsforschung","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"erkennen",,"<p>Die Lehramtsanwärter erkennen Entwicklungsstände, Lernpotentiale, Lernhindernisseund Lernfortschritte</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Differenzierung, Integration und Förderung##Diagnostik, Beurteilung und Beratung","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"erkennen",,"<p>Die Lehramtsanwärter erkennen Lernausgangslagen und setzen<br />spezielle Fördermöglichkeiten ein.</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Diagnostik, Beurteilung und Beratung","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"erkennen","Begabungsförderung","<p>Die Lehramtsanwärter erkennen Begabungen und kennen Möglichkeiten der Begabungsförderung</p>","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Leistungs- und Lernmotivation##Differenzierung, Integration und Förderung##Diagnostik, Beurteilung und Beratung","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"abstimmen",,"<p>Die Lehramtsanwärter stimmen Lernmöglichkeiten und Lernanforderungen aufeinander ab</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik##Diagnostik, Beurteilung und Beratung","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"einsetzen",,"<p>Die Lehramtsanwärter setzen unterschiedliche Beratungsformen situationsgerecht ein</p>","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Didaktik und Methodik##Differenzierung, Integration und Förderung","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kooperieren","Kooperation","<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">kooperieren mit Kolleginnen und Kollegen </span><span style=""line-height:1.231;"">bei der Erarbeitung von Beratung/Empfehlung</span></p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Kommunikation##Schulentwicklung","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kooperieren",,"<p>Die Lehramtsanwärter kooperieren mit anderen Institutionen bei der Entwicklung von Beratungsangeboten</p>","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Differenzierung, Integration und Förderung##Diagnostik, Beurteilung und Beratung##Kommunikation##Schulentwicklung","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"erfassen","Leistungsbewertung","<p>Die Lehramtsanwärter erfassen Leistungen von Schülerinnen und Schülern auf der Grundlage transparenter Beurteilungsmaßstäbe</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik##Leistungs- und Lernmotivation##Diagnostik, Beurteilung und Beratung##Kommunikation","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"konzipieren","Aufgabenstellung","<p>Die Lehramtsanwärter konzipieren Aufgabenstellungen kriteriengerecht.</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik##Leistungs- und Lernmotivation##Differenzierung, Integration und Förderung##Diagnostik, Beurteilung und Beratung","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"anwenden",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">wenden Bewertungsmodelle und Bewertungsmaßstäbe fach- und situationsgerecht </span><span style=""line-height:1.231;"">an</span></p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik##Leistungs- und Lernmotivation##Differenzierung, Integration und Förderung##Diagnostik, Beurteilung und Beratung","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"verständigen",,"<p>Die Lehramtsanwärter verständigen sich auf Beurteilungsgrundsätze mit Kolleginnen und Kollegen</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik##Leistungs- und Lernmotivation##Differenzierung, Integration und Förderung##Diagnostik, Beurteilung und Beratung##Kommunikation","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"formulieren",,"<p>Die Lehramtsanwärter formulieren Aufgabenstellungen adressatengerecht</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Didaktik und Methodik##Differenzierung, Integration und Förderung##Diagnostik, Beurteilung und Beratung##Kommunikation","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"nutzen",,"<p>Die Lehramtsanwärter  <span style=""line-height:1.231;"">nutzen Leistungsüberprüfungen als konstruktive Rückmeldung über die eigene </span><span style=""line-height:1.231;"">Unterrichtstätigkeit</span></p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Didaktik und Methodik##Kommunikation##Schulentwicklung","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"verstehen ","Verantwortung","<p>Die Lehramtsanwärter verstehen ihren Beruf als ein öffentliches Amt mit besonderer Verantwortung und Verpflichtung</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Schulentwicklung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">kennen die Grundlagen und Strukturen des </span><span style=""line-height:1.231;"">Bildungssystems und von Schule als Organisation.</span></p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Schulentwicklung##Bildungsforschung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
